pt_code,term_ja,reading_kana,reading_alt
10015090,鼻出血,ビシュッケツ,ハナシュッケツ
10015099,類上皮肉腫,ルイジョウヒニクシュ,
10015101,遠隔転移を伴う類上皮肉腫,エンカクテンイヲトモナウルイジョウヒニクシュ,
10015104,再発類上皮肉腫,サイハツルイジョウヒニクシュ,
10015106,嚢状腺様上皮腫,ノウジョウセンヨウジョウヒシュ,
10015108,エプスタイン・バーウイルス感染,エプスタインバーウイルスカンセン,
10015109,エプスタイン・バーウイルス感染再燃,エプスタインバーウイルスカンセンサイネン,
10015120,勃起増強,ボッキゾウキョウ,
10015124,麦角中毒,バッカクチュウドク,
10015134,色情妄想,シキジョウモウソウ,
10015137,おくび,オクビ,
10015145,丹毒,タンドク,
10015146,類丹毒,ルイタンドク,
10015148,エリジペロスリックス感染,エリジペロスリックスカンセン,
10015150,紅斑,コウハン,
10015152,温熱性紅斑,オンネツセイコウハン,
10015153,環状紅斑,カンジョウコウハン,
10015213,硬結性紅斑,コウケツセイコウハン,
10015214,伝染性紅斑,デンセンセイコウハン,
10015216,辺縁紅斑,ヘンエンコウハン,
10015218,多形紅斑,タケイコウハン,
10015226,結節性紅斑,ケッセツセイコウハン,
10015237,眼瞼紅斑,ガンケンコウハン,
10015246,赤血病性骨髄症（寛解期）,セッケツビョウセイコツズイショウカンカイキ,
10015248,紅色陰癬,コウショクインセン,
10015251,胎児赤芽球症,タイジセキガキュウショウ,
10015278,乾癬性紅皮症,カンセンセイコウヒショウ,
10015279,赤血球系成熟停止,セッケッキュウケイセイジュクテイシ,
10015284,紅痛症,コウツウショウ,
10015287,赤血球減少症,セッケッキュウゲンショウショウ,
10015290,赤視症,セキシショウ,
10015296,大腸菌性敗血症,ダイチョウキンセイハイケツショウ,
10015487,本態性フルクトース尿症,ホンタイセイフルクトースニョウショウ,
10015488,本態性高血圧症,ホンタイセイコウケツアツショウ,
10015493,本態性血小板血症,ホンタイセイケッショウバンケツショウ,ホンタイセイケッショウバンケッショウ
10015496,本態性振戦,ホンタイセイシンセン,
10015532,類宦官症,ルイカンガンショウ,
10015535,多幸気分,タコウキブン,
10015543,耳管機能障害,ジカンキノウショウガイ,
10015544,耳管閉塞,ジカンヘイソク,
10015545,耳管手術,ジカンシュジュツ,
10015546,耳管開放,ジカンカイホウ,
10015548,安楽死,アンラクシ,
10015549,甲状腺機能正常症候群,コウジョウセンキノウセイジョウショウコウグン,
10015550,稽留受胎産物除去,ケイリュウジュタイサンブツジョキョ,
10015552,涙点外転,ルイテンガイテン,
10015560,ユーイング肉腫,ユーイングニクシュ,
10015562,遠隔転移を伴うユーイング肉腫,エンカクテンイヲトモナウユーイングニクシュ,
10015564,再発ユーイング肉腫,サイハツユーイングニクシュ,
10015571,生体外遺伝子治療,セイタイガイイデンシチリョウ,
10015586,突発性発疹,トッパツセイホッシン,トッパツセイハッシン
10015599,過激な運動,カゲキナウンドウ,
10015605,自慰過剰,ジイカジョウ,
10015610,交換輸血,コウカンユケツ,
10015620,口蓋病変部切除,コウガイビョウヘンブセツジョ,
10015636,適度な運動,テキドナウンドウ,
10015644,運動負荷心電図,ウンドウフカシンデンズ,
10015645,運動負荷心電図異常,ウンドウフカシンデンズイジョウ,
10015646,運動負荷心電図正常,ウンドウフカシンデンズセイジョウ,
10015650,運動不足,ウンドウブソク,
10015652,運動試験,ウンドウシケン,
10015653,運動試験異常,ウンドウシケンイジョウ,
10015654,運動試験正常,ウンドウシケンセイジョウ,
10015670,露出症,ロシュツショウ,
10015677,臍帯ヘルニア,サイタイヘルニア,
10015683,眼球突出症,ガンキュウトッシュツショウ,
10015688,外骨腫,ガイコツシュ,
10015689,外耳道の外骨腫,ガイジドウノガイコツシュ,
10015690,顎骨の外骨腫,ガクコツノガイコツシュ,ガッコツノガイコツシュ
10015696,予備呼気量,ヨビコキリョウ,
10015697,予備呼気量異常,ヨビコキリョウイジョウ,
10015698,予備呼気量減少,ヨビコキリョウゲンショウ,
10015700,予備呼気量増加,ヨビコキリョウゾウカ,
